model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_lvt_mac,0.0600,0.500,0.000,5,0.6413,2.431607e+02,2.034426e+11,13.48
nch_lvt_mac,0.0600,0.500,0.000,8,0.5243,1.156753e+02,1.670892e+11,17.11
nch_lvt_mac,0.0600,0.500,0.000,10,0.4739,7.369092e+01,1.383563e+11,18.48
nch_lvt_mac,0.0600,0.500,0.000,12,0.4360,4.866902e+01,1.139973e+11,19.61
nch_lvt_mac,0.0600,0.500,0.000,15,0.3938,2.764484e+01,8.572771e+10,21.14
nch_lvt_mac,0.0600,0.500,0.000,18,0.3609,1.607328e+01,6.341597e+10,22.50
nch_lvt_mac,0.0600,0.500,0.000,20,0.3408,1.097568e+01,5.022314e+10,23.26
nch_lvt_mac,0.0600,0.500,0.000,25,0.2880,3.340447e+00,2.190219e+10,24.62
nch_lvt_mac,0.0600,0.500,-0.200,5,0.6564,2.426990e+02,2.023650e+11,12.90
nch_lvt_mac,0.0600,0.500,-0.200,8,0.5391,1.152245e+02,1.655111e+11,16.22
nch_lvt_mac,0.0600,0.500,-0.200,10,0.4883,7.318627e+01,1.366893e+11,17.46
nch_lvt_mac,0.0600,0.500,-0.200,12,0.4501,4.812884e+01,1.122777e+11,18.49
nch_lvt_mac,0.0600,0.500,-0.200,15,0.4076,2.723454e+01,8.422507e+10,19.91
nch_lvt_mac,0.0600,0.500,-0.200,18,0.3745,1.581089e+01,6.234692e+10,21.18
nch_lvt_mac,0.0600,0.500,-0.200,20,0.3548,1.085620e+01,4.966267e+10,21.92
nch_lvt_mac,0.0600,0.500,-0.200,25,0.3028,3.364492e+00,2.211564e+10,23.19
nch_lvt_mac,0.0600,0.600,0.000,5,0.6385,2.478564e+02,2.132333e+11,16.67
nch_lvt_mac,0.0600,0.600,0.000,8,0.5206,1.173005e+02,1.711247e+11,19.81
nch_lvt_mac,0.0600,0.600,0.000,10,0.4703,7.475279e+01,1.415539e+11,20.98
nch_lvt_mac,0.0600,0.600,0.000,12,0.4327,4.952414e+01,1.168989e+11,22.00
nch_lvt_mac,0.0600,0.600,0.000,15,0.3908,2.824198e+01,8.824726e+10,23.46
nch_lvt_mac,0.0600,0.600,0.000,18,0.3580,1.646240e+01,6.541510e+10,24.76
nch_lvt_mac,0.0600,0.600,0.000,20,0.3378,1.123135e+01,5.177321e+10,25.47
nch_lvt_mac,0.0600,0.600,0.000,25,0.2848,3.390301e+00,2.243530e+10,26.65
nch_lvt_mac,0.0600,0.600,-0.200,5,0.6533,2.474472e+02,2.116976e+11,15.78
nch_lvt_mac,0.0600,0.600,-0.200,8,0.5351,1.168498e+02,1.694660e+11,18.62
nch_lvt_mac,0.0600,0.600,-0.200,10,0.4844,7.426537e+01,1.398698e+11,19.67
nch_lvt_mac,0.0600,0.600,-0.200,12,0.4465,4.901978e+01,1.152133e+11,20.61
nch_lvt_mac,0.0600,0.600,-0.200,15,0.4043,2.785177e+01,8.680548e+10,21.96
nch_lvt_mac,0.0600,0.600,-0.200,18,0.3715,1.622274e+01,6.441786e+10,23.19
nch_lvt_mac,0.0600,0.600,-0.200,20,0.3516,1.113131e+01,5.128372e+10,23.88
nch_lvt_mac,0.0600,0.600,-0.200,25,0.2993,3.416737e+00,2.266634e+10,24.99
nch_lvt_mac,0.0600,0.700,0.000,5,0.6353,2.508207e+02,2.184874e+11,19.34
nch_lvt_mac,0.0600,0.700,0.000,8,0.5170,1.183948e+02,1.739421e+11,22.06
nch_lvt_mac,0.0600,0.700,0.000,10,0.4668,7.555029e+01,1.439902e+11,23.08
nch_lvt_mac,0.0600,0.700,0.000,12,0.4294,5.016797e+01,1.192107e+11,24.02
nch_lvt_mac,0.0600,0.700,0.000,15,0.3879,2.874221e+01,9.034096e+10,25.43
nch_lvt_mac,0.0600,0.700,0.000,18,0.3551,1.676397e+01,6.706452e+10,26.67
nch_lvt_mac,0.0600,0.700,0.000,20,0.3349,1.142243e+01,5.303243e+10,27.33
nch_lvt_mac,0.0600,0.700,0.000,25,0.2816,3.427807e+00,2.283858e+10,28.36
nch_lvt_mac,0.0600,0.700,-0.200,5,0.6498,2.504579e+02,2.167835e+11,18.16
nch_lvt_mac,0.0600,0.700,-0.200,8,0.5312,1.179671e+02,1.722763e+11,20.59
nch_lvt_mac,0.0600,0.700,-0.200,10,0.4806,7.506690e+01,1.423312e+11,21.51
nch_lvt_mac,0.0600,0.700,-0.200,12,0.4430,4.971423e+01,1.175987e+11,22.38
nch_lvt_mac,0.0600,0.700,-0.200,15,0.4012,2.837894e+01,8.898329e+10,23.69
nch_lvt_mac,0.0600,0.700,-0.200,18,0.3684,1.655970e+01,6.615636e+10,24.87
nch_lvt_mac,0.0600,0.700,-0.200,20,0.3485,1.134789e+01,5.262062e+10,25.52
nch_lvt_mac,0.0600,0.700,-0.200,25,0.2958,3.452033e+00,2.307256e+10,26.48
nch_lvt_mac,0.0600,0.800,0.000,5,0.6321,2.529110e+02,2.219730e+11,21.58
nch_lvt_mac,0.0600,0.800,0.000,8,0.5135,1.191604e+02,1.760431e+11,23.92
nch_lvt_mac,0.0600,0.800,0.000,10,0.4634,7.615152e+01,1.459132e+11,24.82
nch_lvt_mac,0.0600,0.800,0.000,12,0.4263,5.072226e+01,1.211366e+11,25.72
nch_lvt_mac,0.0600,0.800,0.000,15,0.3850,2.913923e+01,9.210483e+10,27.07
nch_lvt_mac,0.0600,0.800,0.000,18,0.3523,1.703240e+01,6.845048e+10,28.27
nch_lvt_mac,0.0600,0.800,0.000,20,0.3321,1.159781e+01,5.410017e+10,28.88
nch_lvt_mac,0.0600,0.800,0.000,25,0.2784,3.449042e+00,2.312896e+10,29.76
nch_lvt_mac,0.0600,0.800,-0.200,5,0.6463,2.525942e+02,2.202271e+11,20.12
nch_lvt_mac,0.0600,0.800,-0.200,8,0.5273,1.187674e+02,1.744074e+11,22.21
nch_lvt_mac,0.0600,0.800,-0.200,10,0.4770,7.571355e+01,1.443145e+11,23.03
nch_lvt_mac,0.0600,0.800,-0.200,12,0.4396,5.027630e+01,1.195910e+11,23.85
nch_lvt_mac,0.0600,0.800,-0.200,15,0.3982,2.883445e+01,9.085750e+10,25.13
nch_lvt_mac,0.0600,0.800,-0.200,18,0.3655,1.684156e+01,6.764551e+10,26.27
nch_lvt_mac,0.0600,0.800,-0.200,20,0.3455,1.152398e+01,5.374440e+10,26.88
nch_lvt_mac,0.0600,0.800,-0.200,25,0.2923,3.474319e+00,2.336739e+10,27.70
nch_lvt_mac,0.0600,0.900,0.000,5,0.6289,2.544248e+02,2.245048e+11,23.41
nch_lvt_mac,0.0600,0.900,0.000,8,0.5100,1.197079e+02,1.776539e+11,25.39
nch_lvt_mac,0.0600,0.900,0.000,10,0.4601,7.662024e+01,1.474816e+11,26.19
nch_lvt_mac,0.0600,0.900,0.000,12,0.4233,5.119748e+01,1.227854e+11,27.04
