model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_18_mac,0.1800,1.400,-0.300,25,0.4123,3.189366e-01,2.007871e+09,41.81
nch_18_mac,0.1800,1.600,0.000,5,0.8035,8.360568e+01,4.866617e+10,33.34
nch_18_mac,0.1800,1.600,0.000,8,0.6741,3.691345e+01,3.717103e+10,37.99
nch_18_mac,0.1800,1.600,0.000,10,0.6227,2.331610e+01,3.118145e+10,40.04
nch_18_mac,0.1800,1.600,0.000,12,0.5840,1.527855e+01,2.611535e+10,41.69
nch_18_mac,0.1800,1.600,0.000,15,0.5378,8.209263e+00,1.940859e+10,43.49
nch_18_mac,0.1800,1.600,0.000,18,0.4966,4.168264e+00,1.324955e+10,44.54
nch_18_mac,0.1800,1.600,0.000,20,0.4684,2.436055e+00,9.422942e+09,44.92
nch_18_mac,0.1800,1.600,0.000,25,0.3728,2.771659e-01,1.719304e+09,45.04
nch_18_mac,0.1800,1.600,-0.300,5,0.8323,8.318413e+01,4.839024e+10,32.56
nch_18_mac,0.1800,1.600,-0.300,8,0.7026,3.664573e+01,3.692833e+10,36.94
nch_18_mac,0.1800,1.600,-0.300,10,0.6508,2.306912e+01,3.094306e+10,38.86
nch_18_mac,0.1800,1.600,-0.300,12,0.6120,1.508936e+01,2.592583e+10,40.42
nch_18_mac,0.1800,1.600,-0.300,15,0.5659,8.127195e+00,1.936145e+10,42.18
nch_18_mac,0.1800,1.600,-0.300,18,0.5252,4.160802e+00,1.337720e+10,43.27
nch_18_mac,0.1800,1.600,-0.300,20,0.4977,2.464259e+00,9.658395e+09,43.68
nch_18_mac,0.1800,1.600,-0.300,25,0.4072,3.154787e-01,1.998666e+09,43.87
nch_18_mac,0.1800,1.800,0.000,5,0.7994,8.434133e+01,4.923167e+10,35.47
nch_18_mac,0.1800,1.800,0.000,8,0.6701,3.723480e+01,3.767344e+10,39.97
nch_18_mac,0.1800,1.800,0.000,10,0.6188,2.355742e+01,3.167142e+10,42.00
nch_18_mac,0.1800,1.800,0.000,12,0.5802,1.543130e+01,2.656435e+10,43.64
nch_18_mac,0.1800,1.800,0.000,15,0.5340,8.303593e+00,1.975343e+10,45.45
nch_18_mac,0.1800,1.800,0.000,18,0.4927,4.199274e+00,1.346032e+10,46.52
